champion,number of wins,kills,deaths,assists,average damagetochampions,average teamkills,average teamdeaths,top,mid,jng,sup,bot,difficulty,items needed for spike,melee or ranged
Aatrox,21,143,174,201,15627.778,10.815,13.759,yes,no,no,no,no,Medium,Offensive,Melee
Ahri,166,1075,664,2063,16921.819,13.092,12.76,no,yes,no,no,no,Medium,Offensive,Ranged
Akali,71,674,431,596,15806.862,11.684,12.339,yes,yes,no,no,no,Medium,Offensive,Melee
Akshan,0,2,7,2,10282.0,4.5,13.0,yes,no,no,no,no,Hard,Offensive,Ranged
Alistar,78,97,548,1442,4051.599,13.253,13.475,no,no,no,yes,no,Easy,Support,Melee
Amumu,9,22,40,106,9103.231,12.923,10.615,no,no,yes,yes,no,Easy,Defensive,Melee
Anivia,0,3,4,2,15427.0,8.0,20.0,no,yes,no,no,no,Hard,Offensive,Ranged
Annie,193,799,962,2643,15208.951,12.801,12.04,no,yes,no,yes,no,Easy,Offensive,Ranged
Aphelios,285,2235,1400,2402,19396.0,11.918,12.718,no,no,no,no,yes,Hard,Offensive,Ranged
Ashe,95,338,560,1572,13830.362,12.744,13.72,no,no,no,yes,yes,Easy,Offensive,Ranged
Aurelion Sol,12,119,42,117,23371.56,12.68,12.76,no,yes,no,no,no,Hard,Offensive,Ranged
Azir,236,1474,1173,2338,21080.191,11.935,12.565,yes,yes,no,yes,no,Hard,Offensive,Ranged
Bard,0,0,2,2,3138.0,4.0,15.0,no,no,no,yes,no,Hard,Support,Ranged
Bel'Veth,7,51,23,42,10255.556,15.444,11.0,no,no,yes,no,no,Medium,Offensive,Melee
Blitzcrank,50,80,287,709,5255.908,14.816,12.805,no,no,no,yes,no,Easy,Support,Melee
Braum,66,59,427,1228,4670.125,12.287,13.801,no,no,no,yes,no,Medium,Support,Melee
Caitlyn,58,380,215,471,17906.0,11.811,12.09,no,no,no,yes,yes,Easy,Offensive,Ranged
Camille,25,162,146,205,14819.353,13.216,12.784,yes,no,no,no,no,Hard,Offensive,Melee
Cassiopeia,29,195,156,277,15612.311,12.721,13.574,no,yes,no,no,yes,Hard,Offensive,Ranged
Cho'Gath,9,42,58,71,13055.571,9.714,14.714,yes,yes,no,no,yes,Easy,Defensive,Melee
Corki,5,29,17,46,25388.7,12.4,12.2,no,yes,no,no,no,Medium,Offensive,Ranged
Darius,14,88,59,74,11796.043,13.696,10.261,yes,no,no,no,no,Medium,Offensive,Melee
Diana,0,7,11,9,11800.0,7.0,16.667,no,no,yes,no,no,Easy,Offensive,Melee
Draven,58,489,246,456,16249.5,12.884,12.545,no,no,no,no,yes,Hard,Offensive,Ranged
Elise,66,290,298,661,13077.612,12.041,11.471,no,no,yes,no,no,Hard,Offensive,Ranged
Evelynn,0,3,3,0,8368.0,5.0,18.0,no,no,yes,no,no,Medium,Offensive,Melee
Ezreal,52,409,228,496,22836.436,11.744,13.299,no,yes,no,no,yes,Easy,Offensive,Ranged
Fiddlesticks,0,1,4,1,10162.0,3.0,15.0,no,no,yes,no,no,Medium,Offensive,Ranged
Fiora,57,308,237,338,16436.922,11.664,12.328,yes,no,no,no,no,Hard,Offensive,Melee
Galio,17,66,97,255,11164.081,12.378,12.649,no,yes,no,yes,no,Medium,Defensive,Melee
Gangplank,20,102,101,184,22522.206,13.235,12.059,yes,no,no,no,no,Hard,Offensive,Melee
Garen,1,13,7,11,12965.0,14.667,18.667,yes,no,no,no,no,Easy,Offensive,Melee
Gnar,147,552,731,1147,16738.593,11.632,12.171,yes,no,no,no,no,Hard,Defensive,Ranged
Gragas,160,556,759,1726,14844.908,12.397,12.225,yes,yes,yes,yes,no,Medium,Offensive,Melee
Graves,10,80,69,131,14692.292,12.375,14.292,no,yes,yes,no,no,Medium,Offensive,Ranged
Gwen,63,355,327,517,18610.38,12.333,12.318,yes,no,no,no,no,Medium,Offensive,Melee
Heimerdinger,73,165,377,934,11576.203,12.264,11.878,no,no,no,yes,no,Medium,Offensive,Ranged
Illaoi,1,8,24,13,19056.6,9.0,19.0,yes,no,no,no,no,Medium,Defensive,Melee
Irelia,14,103,111,109,15041.667,12.7,14.0,yes,yes,no,no,no,Hard,Offensive,Melee
Ivern,40,89,133,694,7133.639,13.111,12.403,no,no,yes,no,no,Hard,Support,Ranged
Janna,2,2,13,36,3789.286,7.429,11.143,no,no,no,yes,no,Easy,Support,Ranged
Jarvan IV,15,67,142,338,8895.054,13.73,15.243,yes,no,yes,yes,no,Easy,Offensive,Melee
Jax,222,1221,1070,1587,14805.052,13.017,12.486,yes,no,yes,no,no,Medium,Offensive,Melee
Jayce,219,1625,1128,2110,22088.441,12.761,12.915,yes,yes,no,no,no,Medium,Offensive,Ranged
Jhin,32,235,113,427,17259.842,12.645,12.763,no,no,no,yes,yes,Medium,Offensive,Ranged
Jinx,101,838,497,988,19369.981,11.976,12.57,no,no,no,no,yes,Medium,Offensive,Ranged
K'Sante,376,1716,1809,3671,12453.317,12.352,12.453,yes,yes,no,no,no,Hard,Defensive,Melee
Kai'Sa,182,1779,708,1634,21992.156,14.168,12.662,no,yes,no,no,yes,Medium,Offensive,Ranged
Kalista,27,190,107,279,13469.711,15.333,13.156,no,no,no,yes,yes,Hard,Offensive,Ranged
Karma,49,85,331,885,7807.28,10.752,12.6,yes,yes,no,yes,no,Easy,Support,Ranged
Karthus,1,9,19,16,20966.5,8.5,17.5,no,no,yes,no,no,Medium,Offensive,Ranged
Kassadin,30,221,108,254,19337.519,12.722,12.463,no,yes,no,no,no,Medium,Offensive,Melee
Kayle,0,4,8,5,14043.5,8.0,19.0,yes,no,no,no,no,Medium,Offensive,Ranged
Kennen,62,339,383,563,19465.271,13.72,12.78,yes,no,no,no,no,Medium,Offensive,Ranged
Kha'Zix,44,300,189,361,12734.89,11.963,12.232,no,no,yes,no,no,Medium,Offensive,Melee
Kindred,26,180,120,269,16011.714,12.857,10.959,no,no,yes,no,no,Hard,Offensive,Ranged
Kled,8,56,26,66,14289.083,17.0,11.333,yes,yes,no,no,no,Medium,Offensive,Melee
Kog'Maw,12,81,33,93,26528.588,14.059,11.765,no,no,no,no,yes,Medium,Offensive,Ranged
LeBlanc,99,706,367,920,22040.81,12.595,13.015,yes,yes,no,no,no,Hard,Offensive,Ranged
Lee Sin,106,607,515,1222,9128.749,12.327,11.94,yes,yes,yes,no,no,Hard,Offensive,Melee
Leona,74,97,479,1175,3621.03,14.642,13.216,no,no,no,yes,no,Easy,Support,Melee
Lillia,12,71,36,128,19212.526,14.0,12.316,yes,no,yes,no,no,Hard,Offensive,Melee
Lissandra,26,135,161,415,14531.0,14.444,13.13,no,yes,no,yes,no,Medium,Offensive,Ranged
Lucian,135,1099,672,1199,21496.725,11.443,11.732,no,yes,no,no,yes,Medium,Offensive,Ranged
Lulu,169,152,667,2913,3771.793,11.11,11.326,no,no,no,yes,no,Medium,Support,Ranged
Lux,32,65,170,433,9994.45,11.167,11.4,no,no,no,yes,no,Easy,Offensive,Ranged
Malphite,30,107,200,398,12956.27,11.662,14.365,yes,yes,no,no,no,Easy,Defensive,Melee
Maokai,304,866,1386,4119,14931.262,12.994,12.171,yes,no,yes,yes,no,Easy,Defensive,Melee
Milio,77,45,215,1226,1875.829,11.157,10.429,no,no,no,yes,no,Easy,Support,Ranged
Miss Fortune,5,25,23,52,21737.333,13.667,12.889,no,no,no,yes,yes,Easy,Offensive,Ranged
Mordekaiser,3,13,12,22,15017.6,15.0,10.4,yes,no,no,no,no,Medium,Offensive,Melee
Morgana,0,0,4,4,5164.0,2.5,14.5,no,no,no,yes,no,Easy,Support,Ranged
Nami,125,160,565,2375,5283.473,11.166,11.903,no,no,no,yes,no,Medium,Support,Ranged
Nautilus,233,347,1790,3947,4478.242,13.124,13.947,no,no,yes,yes,no,Medium,Support,Melee
Neeko,92,410,456,1086,15204.43,13.547,12.471,no,yes,yes,no,no,Easy,Offensive,Ranged
Nidalee,11,70,68,138,18002.435,12.783,14.174,yes,no,yes,no,no,Hard,Offensive,Ranged
Nilah,5,53,25,62,15507.222,16.556,15.333,no,no,no,no,yes,Hard,Offensive,Ranged
Nocturne,33,192,217,510,9944.221,13.377,13.883,no,yes,yes,no,no,Easy,Offensive,Melee
Olaf,22,141,101,177,16422.25,14.35,13.2,yes,no,yes,no,no,Medium,Offensive,Melee
Orianna,13,79,63,171,19993.778,12.444,13.111,no,yes,no,no,no,Medium,Offensive,Ranged
Ornn,64,161,286,791,13048.69,12.611,12.516,yes,no,no,no,no,Medium,Defensive,Melee
Pantheon,1,7,12,12,11078.333,12.667,17.333,yes,no,no,yes,no,,,
Poppy,108,346,466,1381,10493.942,12.786,12.092,yes,no,yes,no,no,Medium,Defensive,Melee
Pyke,8,47,67,72,5557.722,13.667,14.111,no,no,no,yes,no,Medium,Offensive,Melee
Qiyana,4,24,12,30,12782.833,15.5,12.5,no,yes,no,no,no,Hard,Offensive,Melee
Quinn,7,40,26,50,26769.2,13.3,13.4,yes,no,no,no,no,Medium,Offensive,Ranged
Rakan,266,340,1298,4713,4342.018,13.052,12.197,no,no,no,yes,no,Medium,Support,Melee
Rek'Sai,1,12,20,20,9050.333,8.667,14.5,no,no,yes,no,no,Medium,Offensive,Melee
Rell,161,216,986,3009,4611.201,14.231,13.133,no,no,yes,yes,no,Medium,Support,Melee
Renata Glasc,50,56,183,781,4920.738,13.85,11.85,no,no,no,yes,no,Medium,Support,Ranged
Renekton,255,1205,1510,2203,14109.047,12.351,12.59,yes,yes,no,no,no,Easy,Offensive,Melee
Rengar,5,22,21,66,9668.875,17.625,12.0,no,no,yes,no,no,Medium,Offensive,Melee
Rumble,45,291,257,533,22192.54,14.506,13.655,yes,no,yes,no,no,Hard,Offensive,Melee
Ryze,57,348,321,590,18057.929,11.606,13.228,yes,yes,no,no,no,Medium,Offensive,Ranged
Samira,11,118,80,112,14925.704,12.815,14.481,no,no,no,no,yes,Medium,Offensive,Ranged
Sejuani,323,1023,1707,5204,8925.899,11.856,12.542,yes,yes,yes,no,no,Medium,Defensive,Melee
Senna,2,3,3,19,12715.0,10.667,11.667,no,no,no,yes,no,Medium,Offensive,Ranged
Seraphine,2,8,10,21,12221.5,10.5,11.5,no,yes,no,yes,yes,Easy,Support,Ranged
Sett,7,29,43,71,13836.917,14.667,13.417,yes,yes,no,yes,no,Medium,Defensive,Melee
Shen,0,0,4,11,5659.0,11.0,23.0,no,no,no,yes,no,Medium,Defensive,Melee
Singed,1,0,6,10,2217.0,11.0,10.0,no,no,no,yes,no,Medium,Offensive,Melee
Sion,136,344,627,1488,13682.664,12.389,12.091,yes,no,yes,no,no,Easy,Defensive,Melee
Sivir,43,328,249,563,20803.314,11.952,13.924,no,no,no,no,yes,Medium,Offensive,Ranged
Skarner,6,12,15,89,5289.8,12.7,9.2,no,no,yes,no,no,Easy,Defensive,Melee
Sona,4,10,14,63,6849.571,12.714,11.571,no,no,no,yes,no,Easy,Support,Ranged
Soraka,15,22,69,265,4602.839,11.871,11.097,no,no,no,yes,no,Easy,Support,Ranged
Swain,2,11,23,30,17599.167,10.5,15.333,yes,yes,no,no,no,Medium,Offensive,Ranged
Sylas,99,644,506,982,15836.49,13.081,12.313,yes,yes,yes,no,no,Hard,Offensive,Melee
Syndra,62,411,364,610,18170.108,11.101,12.374,no,yes,no,no,no,Medium,Offensive,Ranged
Tahm Kench,11,18,87,181,4820.097,9.903,12.871,no,no,no,yes,no,Easy,Defensive,Melee
Taliyah,66,376,318,807,20364.473,13.194,12.86,no,yes,yes,yes,no,Medium,Offensive,Ranged
Talon,0,4,5,5,17531.0,13.0,28.0,no,yes,no,no,no,Medium,Offensive,Melee
Taric,3,2,7,26,2338.25,11.0,8.5,no,no,no,yes,no,Medium,Support,Melee
Thresh,54,77,351,971,4242.578,13.22,13.459,no,no,no,yes,no,Hard,Support,Melee
Tristana,158,1153,604,1164,18586.807,12.637,11.963,no,yes,no,no,yes,Easy,Offensive,Ranged
Trundle,16,79,89,241,8952.133,14.667,13.8,yes,no,yes,no,no,Easy,Defensive,Melee
Tryndamere,1,11,6,8,20088.5,16.5,15.0,yes,yes,no,no,no,Easy,Offensive,Melee
Twisted Fate,16,53,48,200,14166.84,14.28,11.4,no,yes,no,no,no,Medium,Offensive,Ranged
Twitch,3,38,32,33,19741.75,12.625,14.5,no,no,no,yes,yes,Medium,Offensive,Ranged
Udyr,1,4,7,7,19022.0,7.5,16.5,yes,no,yes,no,no,Medium,Defensive,Melee
Urgot,1,11,5,7,16669.0,10.5,7.0,yes,no,no,no,no,Medium,Offensive,Melee
Varus,201,1433,956,1934,20866.714,12.914,13.106,no,yes,no,yes,yes,Medium,Offensive,Ranged
Vayne,2,32,21,29,12112.0,11.125,13.375,no,no,no,no,yes,Medium,Offensive,Ranged
Veigar,32,240,137,303,16565.8,11.429,12.6,no,yes,no,yes,yes,Medium,Offensive,Ranged
Vel'Koz,0,10,8,11,29326.333,8.667,16.667,no,yes,no,no,no,Medium,Offensive,Ranged
Vex,5,24,15,47,17344.0,17.0,11.167,no,yes,no,no,no,Medium,Offensive,Ranged
Vi,272,1227,1526,3253,7962.813,12.951,12.528,no,no,yes,no,no,Easy,Offensive,Melee
Viego,107,816,586,1226,9764.205,12.017,12.565,no,no,yes,no,no,Hard,Offensive,Melee
Viktor,42,217,214,413,22983.245,10.181,12.277,yes,yes,no,no,no,Hard,Offensive,Ranged
Vladimir,0,2,5,2,11139.0,5.0,23.0,yes,no,no,no,no,Medium,Offensive,Ranged
Volibear,4,11,23,36,8685.556,7.0,12.0,yes,no,yes,no,no,Medium,Defensive,Melee
Wukong,255,1626,1578,3225,10252.118,12.488,12.766,yes,no,yes,no,no,Easy,Offensive,Melee
Xayah,263,1964,1056,2414,19480.033,13.263,12.701,no,no,no,no,yes,Medium,Offensive,Ranged
Xerath,3,34,25,47,23077.167,10.417,11.833,no,yes,no,no,no,Medium,Offensive,Ranged
Xin Zhao,8,51,126,151,10036.742,10.516,15.645,no,no,yes,no,no,Easy,Offensive,Melee
Yasuo,5,29,30,28,9923.0,11.5,12.4,yes,yes,no,no,yes,Hard,Offensive,Melee
Yone,73,449,287,581,17726.793,13.43,11.826,yes,yes,no,no,no,Hard,Offensive,Melee
Yuumi,85,92,263,1626,8078.182,11.293,11.343,no,no,no,yes,no,Easy,Support,Ranged
Zac,4,21,15,42,9027.429,14.143,9.143,no,yes,yes,yes,no,Easy,Defensive,Melee
Zed,2,16,13,10,18015.333,15.333,15.667,no,yes,no,no,no,Hard,Offensive,Melee
Zeri,277,2494,1087,2393,20040.403,12.016,11.583,no,yes,no,no,yes,Medium,Offensive,Ranged
Ziggs,23,118,72,234,26953.41,13.154,12.846,no,yes,no,no,yes,Medium,Offensive,Ranged
Zilean,2,8,12,51,8857.143,10.143,11.429,no,yes,no,yes,no,Medium,Support,Ranged
Zoe,3,20,30,52,20846.636,11.273,16.273,no,yes,no,no,no,Hard,Offensive,Ranged
